================================================================================
PHASE 1 — SAMPLE SIGNINGS BY LIFT HASH
================================================================================
vertices: 15
edges:    30
negatives target: 14
sample limit:     250000
cycle basis size: 16

... samples=146000 cycle_sigs=15813 lift_hashes=1
... samples=146500 cycle_sigs=15813 lift_hashes=1
... samples=147000 cycle_sigs=15825 lift_hashes=1
... samples=147500 cycle_sigs=15826 lift_hashes=1
... samples=148000 cycle_sigs=15837 lift_hashes=1
... samples=148500 cycle_sigs=15844 lift_hashes=1
... samples=149000 cycle_sigs=15846 lift_hashes=1
... samples=149500 cycle_sigs=15848 lift_hashes=1
... samples=150000 cycle_sigs=15883 lift_hashes=1
... samples=150500 cycle_sigs=15894 lift_hashes=1
... samples=151000 cycle_sigs=15897 lift_hashes=1
... samples=151500 cycle_sigs=15897 lift_hashes=1
... samples=152000 cycle_sigs=15898 lift_hashes=1
... samples=152500 cycle_sigs=15899 lift_hashes=1
... samples=153000 cycle_sigs=15930 lift_hashes=1
... samples=153500 cycle_sigs=15946 lift_hashes=1
... samples=154000 cycle_sigs=15964 lift_hashes=1
... samples=154500 cycle_sigs=15970 lift_hashes=1
... samples=155000 cycle_sigs=15973 lift_hashes=1
... samples=155500 cycle_sigs=15973 lift_hashes=1
... samples=156000 cycle_sigs=15973 lift_hashes=1
... samples=156500 cycle_sigs=15975 lift_hashes=1
... samples=157000 cycle_sigs=15980 lift_hashes=1
... samples=157500 cycle_sigs=16010 lift_hashes=1
... samples=158000 cycle_sigs=16013 lift_hashes=1
... samples=158500 cycle_sigs=16014 lift_hashes=1
... samples=159000 cycle_sigs=16016 lift_hashes=1
... samples=159500 cycle_sigs=16016 lift_hashes=1
... samples=160000 cycle_sigs=16016 lift_hashes=1
... samples=160500 cycle_sigs=16016 lift_hashes=1
... samples=161000 cycle_sigs=16016 lift_hashes=1
... samples=161500 cycle_sigs=16016 lift_hashes=1
... samples=162000 cycle_sigs=16016 lift_hashes=1
... samples=162500 cycle_sigs=16018 lift_hashes=1
... samples=163000 cycle_sigs=16018 lift_hashes=1
