================================================================================
PHASE 1 — FULL ENUMERATION OF 14/16 SIGNINGS BY LIFT HASH
================================================================================
vertices: 15
edges:    30
negatives target: 14
total signings:   145422675
cycle basis size: 16

... samples=320000/145422675 ( 0.220%) cycle_sigs=16384 lift_hashes=1 rate=  7477.2/s elapsed=00:00:42 eta=05:23:25
... samples=325000/145422675 ( 0.223%) cycle_sigs=16384 lift_hashes=1 rate=  7472.7/s elapsed=00:00:43 eta=05:23:37
... samples=330000/145422675 ( 0.227%) cycle_sigs=16384 lift_hashes=1 rate=  7469.5/s elapsed=00:00:44 eta=05:23:44
... samples=335000/145422675 ( 0.230%) cycle_sigs=16384 lift_hashes=1 rate=  7467.7/s elapsed=00:00:44 eta=05:23:48
... samples=340000/145422675 ( 0.234%) cycle_sigs=16384 lift_hashes=1 rate=  7456.9/s elapsed=00:00:45 eta=05:24:16
... samples=345000/145422675 ( 0.237%) cycle_sigs=16384 lift_hashes=1 rate=  7453.7/s elapsed=00:00:46 eta=05:24:23
... samples=350000/145422675 ( 0.241%) cycle_sigs=16384 lift_hashes=1 rate=  7450.9/s elapsed=00:00:46 eta=05:24:30
... samples=355000/145422675 ( 0.244%) cycle_sigs=16384 lift_hashes=1 rate=  7444.0/s elapsed=00:00:47 eta=05:24:47
... samples=360000/145422675 ( 0.248%) cycle_sigs=16384 lift_hashes=1 rate=  7441.4/s elapsed=00:00:48 eta=05:24:53
... samples=365000/145422675 ( 0.251%) cycle_sigs=16384 lift_hashes=1 rate=  7439.2/s elapsed=00:00:49 eta=05:24:59
... samples=370000/145422675 ( 0.254%) cycle_sigs=16384 lift_hashes=1 rate=  7429.7/s elapsed=00:00:49 eta=05:25:23
... samples=375000/145422675 ( 0.258%) cycle_sigs=16384 lift_hashes=1 rate=  7428.5/s elapsed=00:00:50 eta=05:25:25
... samples=380000/145422675 ( 0.261%) cycle_sigs=16384 lift_hashes=1 rate=  7427.1/s elapsed=00:00:51 eta=05:25:28
... samples=385000/145422675 ( 0.265%) cycle_sigs=16384 lift_hashes=1 rate=  7424.5/s elapsed=00:00:51 eta=05:25:35
... samples=390000/145422675 ( 0.268%) cycle_sigs=16384 lift_hashes=1 rate=  7422.6/s elapsed=00:00:52 eta=05:25:39
... samples=395000/145422675 ( 0.272%) cycle_sigs=16384 lift_hashes=1 rate=  7420.8/s elapsed=00:00:53 eta=05:25:43
... samples=400000/145422675 ( 0.275%) cycle_sigs=16384 lift_hashes=1 rate=  7419.9/s elapsed=00:00:53 eta=05:25:45
... samples=405000/145422675 ( 0.278%) cycle_sigs=16384 lift_hashes=1 rate=  7417.6/s elapsed=00:00:54 eta=05:25:50
... samples=410000/145422675 ( 0.282%) cycle_sigs=16384 lift_hashes=1 rate=  7415.9/s elapsed=00:00:55 eta=05:25:54
